"County","State","FIPS Code","Formatted FIPS","Average annual wage in the specialty trade contractors industry "
"Autauga","AL","01001","=""01001""","42502"
"Baldwin","AL","01003","=""01003""","43332"
"Barbour","AL","01005","=""01005""","29717"
"Bibb","AL","01007","=""01007""","35467"
"Blount","AL","01009","=""01009""","40791"
"Bullock","AL","01011","=""01011""","N/A"
"Butler","AL","01013","=""01013""","39431"
"Calhoun","AL","01015","=""01015""","42304"
"Chambers","AL","01017","=""01017""","37255"
"Cherokee","AL","01019","=""01019""","34806"
"Chilton","AL","01021","=""01021""","40034"
"Choctaw","AL","01023","=""01023""","38892"
"Clarke","AL","01025","=""01025""","31142"
"Clay","AL","01027","=""01027""","42881"
"Cleburne","AL","01029","=""01029""","29683"
"Coffee","AL","01031","=""01031""","34738"
"Colbert","AL","01033","=""01033""","49319"
"Conecuh","AL","01035","=""01035""","29660"
"Coosa","AL","01037","=""01037""","42255"
"Covington","AL","01039","=""01039""","34240"
"Crenshaw","AL","01041","=""01041""","35025"
"Cullman","AL","01043","=""01043""","37324"
"Dale","AL","01045","=""01045""","31539"
"Dallas","AL","01047","=""01047""","45372"
"DeKalb","AL","01049","=""01049""","43826"
"Elmore","AL","01051","=""01051""","43538"
"Escambia","AL","01053","=""01053""","35591"
"Etowah","AL","01055","=""01055""","41988"
"Fayette","AL","01057","=""01057""","30497"
"Franklin","AL","01059","=""01059""","37049"
"Geneva","AL","01061","=""01061""","30403"
"Greene","AL","01063","=""01063""","N/A"
"Hale","AL","01065","=""01065""","47727"
"Henry","AL","01067","=""01067""","34490"
"Houston","AL","01069","=""01069""","41722"
"Jackson","AL","01071","=""01071""","39464"
"Jefferson","AL","01073","=""01073""","55370"
"Lamar","AL","01075","=""01075""","40397"
"Lauderdale","AL","01077","=""01077""","43631"
"Lawrence","AL","01079","=""01079""","48602"
"Lee","AL","01081","=""01081""","40090"
"Limestone","AL","01083","=""01083""","40795"
"Lowndes","AL","01085","=""01085""","37086"
"Macon","AL","01087","=""01087""","21288"
"Madison","AL","01089","=""01089""","46440"
"Marengo","AL","01091","=""01091""","48820"
"Marion","AL","01093","=""01093""","30815"
"Marshall","AL","01095","=""01095""","40133"
"Mobile","AL","01097","=""01097""","54176"
"Monroe","AL","01099","=""01099""","N/A"
"Montgomery","AL","01101","=""01101""","48669"
"Morgan","AL","01103","=""01103""","50844"
"Perry","AL","01105","=""01105""","32899"
"Pickens","AL","01107","=""01107""","33385"
"Pike","AL","01109","=""01109""","37463"
"Randolph","AL","01111","=""01111""","37928"
"Russell","AL","01113","=""01113""","40368"
"St. Clair","AL","01115","=""01115""","42715"
"Shelby","AL","01117","=""01117""","53709"
"Sumter","AL","01119","=""01119""","28802"
"Talladega","AL","01121","=""01121""","50761"
"Tallapoosa","AL","01123","=""01123""","34460"
"Tuscaloosa","AL","01125","=""01125""","44339"
"Walker","AL","01127","=""01127""","50064"
"Washington","AL","01129","=""01129""","33845"
"Wilcox","AL","01131","=""01131""","42008"
"Winston","AL","01133","=""01133""","40313"
"Aleutians East","AK","02013","=""02013""","N/A"
"Aleutians West","AK","02016","=""02016""","99855"
"Anchorage","AK","02020","=""02020""","69880"
"Bethel","AK","02050","=""02050""","N/A"
"Bristol Bay","AK","02060","=""02060""","N/A"
"Denali","AK","02068","=""02068""","N/A"
"Dillingham","AK","02070","=""02070""","N/A"
"Fairbanks North Star","AK","02090","=""02090""","83214"
"Haines","AK","02100","=""02100""","45802"
"Hoonah-Angoon","AK","02105","=""02105""","45028"
"Juneau","AK","02110","=""02110""","61517"
"Kenai Peninsula","AK","02122","=""02122""","58963"
"Ketchikan Gateway","AK","02130","=""02130""","49422"
"Kodiak Island","AK","02150","=""02150""","54832"
"Lake and Peninsula","AK","02164","=""02164""","N/A"
"Matanuska-Susitna","AK","02170","=""02170""","56950"
"Nome","AK","02180","=""02180""","N/A"
"North Slope","AK","02185","=""02185""","90289"
"Northwest Arctic","AK","02188","=""02188""","117879"
"Petersburg","AK","02195","=""02195""","N/A"
"Prince of Wales-Hyder","AK","02198","=""02198""","42403"
"Sitka","AK","02220","=""02220""","80922"
"Skagway","AK","02230","=""02230""","N/A"
"Southeast Fairbanks","AK","02240","=""02240""","N/A"
"Valdez-Cordova","AK","02261","=""02261""","48999"
"Wade Hampton","AK","02270","=""02270""","N/A"
"Wrangell","AK","02275","=""02275""","39036"
"Yakutat","AK","02282","=""02282""","N/A"
"Yukon-Koyukuk","AK","02290","=""02290""","N/A"
"Apache","AZ","04001","=""04001""","N/A"
"Cochise","AZ","04003","=""04003""","41767"
"Coconino","AZ","04005","=""04005""","41052"
"Gila","AZ","04007","=""04007""","43048"
"Graham","AZ","04009","=""04009""","34180"
"Greenlee","AZ","04011","=""04011""","55178"
"La Paz","AZ","04012","=""04012""","52912"
"Maricopa","AZ","04013","=""04013""","54228"
"Mohave","AZ","04015","=""04015""","37869"
"Navajo","AZ","04017","=""04017""","38423"
"Pima","AZ","04019","=""04019""","43825"
"Pinal","AZ","04021","=""04021""","43777"
"Santa Cruz","AZ","04023","=""04023""","36418"
"Yavapai","AZ","04025","=""04025""","40182"
"Yuma","AZ","04027","=""04027""","36011"
"Arkansas","AR","05001","=""05001""","47291"
"Ashley","AR","05003","=""05003""","31654"
"Baxter","AR","05005","=""05005""","34533"
"Benton","AR","05007","=""05007""","46277"
"Boone","AR","05009","=""05009""","39538"
"Bradley","AR","05011","=""05011""","28164"
"Calhoun","AR","05013","=""05013""","44687"
"Carroll","AR","05015","=""05015""","39569"
"Chicot","AR","05017","=""05017""","N/A"
"Clark","AR","05019","=""05019""","44373"
"Clay","AR","05021","=""05021""","33962"
"Cleburne","AR","05023","=""05023""","41285"
"Cleveland","AR","05025","=""05025""","N/A"
"Columbia","AR","05027","=""05027""","36440"
"Conway","AR","05029","=""05029""","56574"
"Craighead","AR","05031","=""05031""","46579"
"Crawford","AR","05033","=""05033""","42641"
"Crittenden","AR","05035","=""05035""","44010"
"Cross","AR","05037","=""05037""","35986"
"Dallas","AR","05039","=""05039""","34770"
"Desha","AR","05041","=""05041""","35445"
"Drew","AR","05043","=""05043""","47224"
"Faulkner","AR","05045","=""05045""","40801"
"Franklin","AR","05047","=""05047""","29582"
"Fulton","AR","05049","=""05049""","N/A"
"Garland","AR","05051","=""05051""","38183"
"Grant","AR","05053","=""05053""","58561"
"Greene","AR","05055","=""05055""","33932"
"Hempstead","AR","05057","=""05057""","43809"
"Hot Spring","AR","05059","=""05059""","30544"
"Howard","AR","05061","=""05061""","23363"
"Independence","AR","05063","=""05063""","57464"
"Izard","AR","05065","=""05065""","34438"
"Jackson","AR","05067","=""05067""","43698"
"Jefferson","AR","05069","=""05069""","38565"
"Johnson","AR","05071","=""05071""","36846"
"Lafayette","AR","05073","=""05073""","N/A"
"Lawrence","AR","05075","=""05075""","44509"
"Lee","AR","05077","=""05077""","N/A"
"Lincoln","AR","05079","=""05079""","37229"
"Little River","AR","05081","=""05081""","47993"
"Logan","AR","05083","=""05083""","40018"
"Lonoke","AR","05085","=""05085""","41688"
"Madison","AR","05087","=""05087""","37816"
"Marion","AR","05089","=""05089""","34674"
"Miller","AR","05091","=""05091""","41979"
"Mississippi","AR","05093","=""05093""","59938"
"Monroe","AR","05095","=""05095""","19962"
"Montgomery","AR","05097","=""05097""","28832"
"Nevada","AR","05099","=""05099""","30369"
"Newton","AR","05101","=""05101""","N/A"
"Ouachita","AR","05103","=""05103""","38941"
"Perry","AR","05105","=""05105""","33532"
"Phillips","AR","05107","=""05107""","25293"
"Pike","AR","05109","=""05109""","32713"
"Poinsett","AR","05111","=""05111""","33097"
"Polk","AR","05113","=""05113""","35881"
"Pope","AR","05115","=""05115""","50308"
"Prairie","AR","05117","=""05117""","N/A"
"Pulaski","AR","05119","=""05119""","47839"
"Randolph","AR","05121","=""05121""","31296"
"St. Francis","AR","05123","=""05123""","45042"
"Saline","AR","05125","=""05125""","44199"
"Scott","AR","05127","=""05127""","N/A"
"Searcy","AR","05129","=""05129""","N/A"
"Sebastian","AR","05131","=""05131""","42737"
"Sevier","AR","05133","=""05133""","51696"
