id,name,state_id
1,Holtsville,37
2,Adjuntas,45
3,Aguada,45
4,Aguadilla,45
5,Maricao,45
6,Anasco,45
7,Angeles,45
8,Arecibo,45
9,Bajadero,45
10,Barceloneta,45
11,Boqueron,45
12,"Cabo Rojo",45
13,Penuelas,45
14,Camuy,45
15,Castaner,45
16,Rosario,45
17,"Sabana Grande",45
18,Ciales,45
19,Utuado,45
20,Dorado,45
21,Ensenada,45
22,Florida,45
23,Garrochales,45
24,Guanica,45
25,Guayanilla,45
26,Hatillo,45
27,Hormigueros,45
28,Isabela,45
29,Jayuya,45
30,Lajas,45
31,Lares,45
32,"Las Marias",45
33,Manati,45
34,Moca,45
35,Rincon,45
36,Quebradillas,45
37,Mayaguez,45
38,"San German",45
39,"San Sebastian",45
40,Morovis,45
41,"Sabana Hoyos",45
42,"San Antonio",45
43,"Vega Alta",45
44,"Vega Baja",45
45,Yauco,45
46,"Aguas Buenas",45
47,Aguirre,45
48,Aibonito,45
49,Maunabo,45
50,Arroyo,45
51,Mercedita,45
52,Ponce,45
53,Naguabo,45
54,Naranjito,45
55,Orocovis,45
56,Palmer,45
57,Patillas,45
58,Caguas,45
59,Canovanas,45
60,Ceiba,45
61,Cayey,45
62,Fajardo,45
63,Cidra,45
64,"Puerto Real",45
65,"Punta Santiago",45
66,"Roosevelt Roads",45
67,"Rio Blanco",45
68,"Rio Grande",45
69,Salinas,45
70,"San Lorenzo",45
71,"Santa Isabel",45
72,Vieques,45
73,Villalba,45
74,Yabucoa,45
75,Coamo,45
76,"Las Piedras",45
77,Loiza,45
78,Luquillo,45
79,Culebra,45
80,Juncos,45
81,Gurabo,45
82,"Coto Laurel",45
83,Comerio,45
84,Corozal,45
85,Guayama,45
86,"La Plata",45
87,Humacao,45
88,Barranquitas,45
89,"Juana Diaz",45
90,"St Thomas",53
91,Christiansted,53
92,"St John",53
93,Frederiksted,53
94,Kingshill,53
95,"San Juan",45
96,"Fort Buchanan",45
97,"Toa Baja",45
98,"Sabana Seca",45
99,"Toa Alta",45
100,Bayamon,45
101,Catano,45
102,Guaynabo,45
103,"Trujillo Alto",45
104,"Saint Just",45
105,Carolina,45
106,Agawam,25
107,Amherst,25
108,Barre,25
109,Belchertown,25
110,Blandford,25
111,Bondsville,25
112,Brimfield,25
113,Chester,25
114,Chesterfield,25
115,Chicopee,25
116,Cummington,25
117,Easthampton,25
118,"East Longmeadow",25
119,"East Otis",25
120,"Feeding Hills",25
121,Gilbertville,25
122,Goshen,25
123,Granby,25
124,Granville,25
125,Hadley,25
126,Hampden,25
127,Hardwick,25
128,Hatfield,25
129,Haydenville,25
130,Holyoke,25
131,Huntington,25
132,Leeds,25
133,Leverett,25
134,Ludlow,25
135,Monson,25
136,"North Amherst",25
137,Northampton,25
138,Florence,25
139,"North Hatfield",25
140,Oakham,25
141,Palmer,25
142,Plainfield,25
143,Russell,25
144,Shutesbury,25
145,Southampton,25
146,"South Barre",25
147,"South Hadley",25
148,Southwick,25
149,Thorndike,25
150,"Three Rivers",25
151,Wales,25
152,Ware,25
153,Warren,25
154,"West Chesterfield",25
155,Westfield,25
156,"West Hatfield",25
157,"West Springfield",25
158,"West Warren",25
159,Whately,25
160,Wheelwright,25
161,Wilbraham,25
162,Williamsburg,25
163,Woronoco,25
164,Worthington,25
165,Springfield,25
166,Longmeadow,25
167,"Indian Orchard",25
168,Pittsfield,25
169,Adams,25
170,"Ashley Falls",25
171,Becket,25
172,Berkshire,25
173,Cheshire,25
174,Dalton,25
175,Glendale,25
176,"Great Barrington",25
177,Hinsdale,25
178,Housatonic,25
179,Lanesboro,25
180,Lee,25
181,Lenox,25
182,"Lenox Dale",25
183,Middlefield,25
184,"Mill River",25
185,Monterey,25
186,"North Adams",25
187,"North Egremont",25
188,Otis,25
189,Richmond,25
190,Sandisfield,25
191,Savoy,25
192,Sheffield,25
193,"South Egremont",25
194,Southfield,25
195,"South Lee",25
196,Stockbridge,25
197,Tyringham,25
198,"West Stockbridge",25
199,Williamstown,25
200,Windsor,25
201,Greenfield,25
202,Ashfield,25
203,Athol,25
204,Bernardston,25
205,Buckland,25
206,Charlemont,25
207,Colrain,25
208,Conway,25
209,Deerfield,25
210,Drury,25
211,Erving,25
212,Heath,25
213,"Lake Pleasant",25
214,"Millers Falls",25
215,"Monroe Bridge",25
216,Montague,25
217,Gill,25
218,"New Salem",25
219,Northfield,25
220,Orange,25
221,Petersham,25
222,Rowe,25
223,Royalston,25
224,"Shelburne Falls",25
225,"South Deerfield",25
226,Sunderland,25
227,"Turners Falls",25
228,Warwick,25
229,Wendell,25
230,"Wendell Depot",25
231,Fitchburg,25
232,Ashburnham,25
233,Ashby,25
234,Ayer,25
235,Devens,25
236,Baldwinville,25
237,"East Templeton",25
238,Gardner,25
239,Westminster,25
240,Groton,25
241,Harvard,25
242,Hubbardston,25
243,Leominster,25
244,Littleton,25
245,Lunenburg,25
246,Pepperell,25
247,Shirley,25
248,"Still River",25
249,Templeton,25
250,Townsend,25
251,"West Groton",25
252,"West Townsend",25
253,Winchendon,25
254,"Winchendon Springs",25
255,Auburn,25
256,Berlin,25
257,Blackstone,25
258,Boylston,25
259,Brookfield,25
260,Charlton,25
261,"Charlton City",25
262,"Charlton Depot",25
263,Clinton,25
264,"East Brookfield",25
265,Douglas,25
266,"East Princeton",25
267,Fiskdale,25
268,Grafton,25
269,Holden,25
270,Holland,25
271,Jefferson,25
272,Lancaster,25
273,Leicester,25
274,Linwood,25
275,Manchaug,25
276,Millbury,25
277,Millville,25
278,"New Braintree",25
279,Northborough,25
280,Northbridge,25
281,"North Brookfield",25
282,"North Grafton",25
283,"North Oxford",25
284,"North Uxbridge",25
285,Oxford,25
286,Princeton,25
287,Rochdale,25
288,Rutland,25
289,Shrewsbury,25
290,Southbridge,25
291,"South Grafton",25
292,"South Lancaster",25
293,Spencer,25
294,Sterling,25
295,Sturbridge,25
296,Upton,25
297,Uxbridge,25
298,Webster,25
299,Dudley,25
300,Westborough,25
301,"West Boylston",25
302,"West Brookfield",25
303,"West Millbury",25
304,Whitinsville,25
305,Sutton,25
306,Worcester,25
307,"Cherry Valley",25
308,Paxton,25
309,Framingham,25
310,"Village Of Nagog Woods",25
311,Boxborough,25
312,Acton,25
313,Ashland,25
314,Bedford,25
315,"Hanscom Afb",25
316,Bolton,25
317,Carlisle,25
318,Concord,25
319,Fayville,25
320,Holliston,25
321,Hopedale,25
322,Hopkinton,25
323,Hudson,25
324,Marlborough,25
325,Maynard,25
326,Mendon,25
327,Milford,25
328,Natick,25
329,Sherborn,25
330,Southborough,25
331,Lincoln,25
332,Stow,25
333,Sudbury,25
334,Wayland,25
335,Woodville,25
336,Woburn,25
337,Burlington,25
338,Andover,25
339,Billerica,25
340,Chelmsford,25
341,Dracut,25
342,Dunstable,25
343,Haverhill,25
344,Georgetown,25
345,Groveland,25
346,Lawrence,25
347,Methuen,25
348,"North Andover",25
349,Lowell,25
350,Merrimac,25
351,"North Billerica",25
352,"North Chelmsford",25
353,"North Reading",25
354,"Nutting Lake",25
355,Pinehurst,25
356,Reading,25
357,Tewksbury,25
358,Tyngsboro,25
359,Wakefield,25
360,"West Boxford",25
361,Westford,25
362,Wilmington,25
363,Winchester,25
364,Lynn,25
365,Saugus,25
366,Swampscott,25
367,Nahant,25
368,Amesbury,25
369,Beverly,25
370,Boxford,25
371,Byfield,25
372,Danvers,25
373,Essex,25
374,Gloucester,25
375,Hamilton,25
376,Hathorne,25
377,Ipswich,25
378,Lynnfield,25
379,Manchester,25
380,Marblehead,25
381,Middleton,25
382,Newburyport,25
383,Newbury,25
384,Salisbury,25
385,Peabody,25
386,"Prides Crossing",25
387,Rockport,25
388,Rowley,25
389,Salem,25
390,"South Hamilton",25
391,Topsfield,25
392,Wenham,25
393,"West Newbury",25
394,Accord,25
395,Bellingham,25
396,"Brant Rock",25
397,Canton,25
398,Cohasset,25
399,Dedham,25
400,Dover,25
401,"East Mansfield",25
402,"East Walpole",25
403,Foxboro,25
404,Franklin,25
405,Greenbush,25
406,"Green Harbor",25
407,Hingham,25
408,Hull,25
409,Humarock,25
410,Mansfield,25
