id,program_id,order,code,website,enacted,enactedtext,effective,effectivetext,expired,expiredtext,file_key,file_name
1,30,1,"A.R.S. § 44-1762",http://www.azleg.gov/viewdocument/?docName=http://www.azleg.gov/ars/44/01762.htm,,1995,,,,None,,
2,32,1,"A.C.A. Â§ 2-8-109",,,3/19/99,,1/1/97,,,,
3,83,1,"Utah Code 59-10-1014",https://le.utah.gov/xcode/Title59/Chapter10/59-10-S1014.html?v=C59-10-S1014_2017050920170509,,"2001, subsequently amended",,"01/01/01, subsequently amended",,,,
4,73,1,"HRS Â§ 235-110.3",,,6/30/00,,1/1/02,,,,
5,75,1,"Kansas Statutes 79-201",http://kslegislature.org/li/statute/079_000_0000_chapter/079_002_0000_article/079_002_0001_section/079_002_0001_k/,,,"1999-01-01 05:00:00",,,,,
9,80,1,"NY CLS Tax, Article 22 § 606 (g-1) et seq.",https://law.justia.com/codes/new-york/2017/tax/article-22/part-1/606/,"1997-08-02 04:00:00","(solar electric)","1998-01-01 05:00:00","(solar electric) 01/01/2006 (solar thermal)",,,,
10,81,1,"Texas Tax Code § 171.107",http://www.statutes.legis.state.tx.us/Docs/TX/htm/TX.171.htm#171.107,,"1981 (subsequently amended)",,1982,,,,
11,82,1,"Texas Tax Code § 171.056",http://www.statutes.legis.state.tx.us/Docs/TX/htm/TX.171.htm#171.056,,1981,,1982,,,,
12,67,1,"Maryland Code:  Tax - General Â§ 10-719 -- 10-720",,,7/1/2000,,7/1/00,,12/31/2004,,
13,69,1,"Maryland Code:  Tax - General Â§ 11-226",,,7/1/2000,,7/1/2000,,7/1/2004,,
14,71,1,"Maryland Code:  Tax - General Â§ 10-719 -- 10-720",,,7/1/2000,,7/1/2000,,12/31/2004,,
15,43,1,"26 Del. C. § 1014(d)",http://delcode.delaware.gov/title26/c010/index.shtml,,"1999 (subsequently amended)",,1999,,,,
16,44,1,"32 V.S.A. § 9741(46)",http://legislature.vermont.gov/statutes/section/32/233/09741,,"1999 (subsequently amended)",,,,,,
17,48,1,,,,1997,,,,,,
19,39,1,"OR Revised Statutes 757.300",https://www.oregonlegislature.gov/bills_laws/ors/ors757.html,,"9/1/1999; amended, 6/7/2005",,,,,,
20,65,1,"P.L. 1672 (Act 213)",https://www.legis.state.pa.us/cfdocs/Legis/LI/uconsCheck.cfm?txtType=HTM&yr=2004&sessInd=0&smthLwInd=0&act=0213.,"2004-11-30 05:00:00","(subsequently amended)",,,,,,
21,85,1,"Va. Code § 58.1-3661",https://law.lis.virginia.gov/vacode/title58.1/chapter36/section58.1-3661/,,1/1/1977,,,,,,
23,45,1,"32 V.S.A. § 3845",http://legislature.vermont.gov/statutes/section/32/125/03845,,"1975 (subsequently amended)",,,,,,
24,46,1,"Code of Ala. Â§ 40-18-15 (16)",http://alisondb.legislature.state.al.us/alison/CodeOfAlabama/1975/40-18-15.htm,,,,,,,,
25,47,1,"A.C.A. Â§ 15-4-2104",,,1/1/00,,,,,,
26,57,1,"Iowa Code 452A.21, 452A.3",,,N/A,,,,6/30/2007,,
27,58,1,"NE Executive Order 98-1",http://www.nlc.state.ne.us/docs/pilot/pubs/eofiles/98-1.pdf,,1/12/1998,,,,none,,
28,27,1,"Iowa Code § 564A",https://www.legis.iowa.gov/docs/code/2020/564A.pdf,,,,,,,,
29,28,3,"Fla. Stat. § 704.07",http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0700-0799/0704/Sections/0704.07.html,,1978,,7/1/1978,,,,
31,40,1,"Va. Code § 56-594",http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+56-594,,"1999 (subsequently amended)",,7/1/2000,,,,
32,60,1,"New Hampshire Statutes, Chapter 72:61 et seq.",http://www.gencourt.state.nh.us/rsa/html/NHTOC/NHTOC-V-72.htm,,"1975 (subsequently amended)",,1/1/1976,,,,
33,37,1,"Mont. Code § 69-8-601 et seq.",http://leg.mt.gov/bills/mca_toc/69_8_6.htm,,1999,,,,,,
34,41,1,"30 V.S.A. § 8010",http://legislature.vermont.gov/statutes/section/30/089/08010,,"2013 (subsequently amended)","2017-01-01 05:00:00",,,,,
35,42,1,"Rev. Code Wash. § 80.60",http://apps.leg.wa.gov/RCW/default.aspx?cite=80.60,,1998,,,,,,
36,49,1,"HRS §235-12.5",http://www.capitol.hawaii.gov/hrscurrent/Vol04_Ch0201-0257/HRS0235/HRS_0235-0012_0005.HTM,,"1976, subsequently amended",,7/1/2003,,None,,
37,50,1,"HRS §235-12.5",http://www.capitol.hawaii.gov/hrscurrent/Vol04_Ch0201-0257/HRS0235/HRS_0235-0012_0005.HTM,,"1976, subsequently amended",,7/1/2003,,None,,
38,51,1,"HRS 235-12(b)(1)",,,1/1/90,,,,7/1/2003,,
39,52,1,"HRS 235-12(b)(1)",,,1/1/90,,,,7/1/2003,,
40,53,1,"H.R.S. Â§ 237-27.1",,,6/30/02,,"Tax year 2002",,12/31/06,,
41,54,1,"Ind. Code § 6-1.1-12-26 et seq.",http://iga.in.gov/legislative/laws/2019/ic/titles/006#6-1.1-12-26,,"1975 (subsequently amended)",,,,,,
42,56,1,"Iowa Code § 423.3",https://www.legis.iowa.gov/docs/code/2020/423.3.pdf,,"05/26/1993 (subsequently recodified, amended)",,,,,,
44,270,1,"NRS Â§ 111.370 et seq.",http://www.leg.state.nv.us/NRS/NRS-111.html#NRS111Sec370,,1995,,,,None,,
45,301,1,"M.G.L. ch. 187 § 1A. Solar easements",http://www.mass.gov/legis/laws/mgl/187-1a.htm,,,,,,,,
46,302,1,"Minn. Stat. § 500.30",https://www.revisor.mn.gov/statutes/?id=500.30,,1978,,,,None,,
47,532,1,"ND Century Code 57-38-01.8",http://www.legis.nd.gov/cencode/t57c38.pdf,,03/26/2001,,01/01/2001,,12/31/2014,,
48,615,1,"C.R.S. Â§39-22-516",,,,,7/1/98,,6/30/11,,
50,712,1,"Iowa Code Â§ 422.11C",,,,,1/1/02,,6/30/07,,
51,102,1,"N.C. Gen. Stat. Â§ 105-130.28",,,,,1/1/00,,1/1/06,,
52,104,1,"W. Va. Code § 11-13-2o",http://www.legis.state.wv.us/wvcode/Code.cfm?chap=11&art=13#13,,5/2001,,7/2001,,,,
53,105,1,"DC Code § 34-1501 et seq.",https://beta.code.dccouncil.us/dc/council/code/titles/34/chapters/15/,"2000-05-09 04:00:00","(subsequently amended)",,,,,,
55,110,1,"RI General Laws Â§ 44-56-1: Renewable energy sales tax refund",,,2000,,1/1/01,,,,
56,118,1,"A.R.S. § 43-1083",https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/43/01083.htm,,,"1995-01-01 05:00:00",,,,,
57,119,1,"A.R.S. § 42-5061",https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/42/05061.htm,,,,1/1/1997,,,,
58,128,1,"C.G.S. 12-217i; Public Act 95-15(a)",,,1/1/94,,,,1/1/2002,,
59,129,1,"C.G.S. 12-217i; Public Act 95-15(b)",,,1/1/95,,,,"prior to 1/1/2002",,
60,131,1,"Davis Municipal Code 40.38.0",,,,,,,,,
64,142,1,"Iowa Code § 427B.26",https://www.legis.iowa.gov/docs/code/427B.26.pdf,,,,,,,,
66,144,1,"M.G.L. Ch. 62, § 6(d)",http://www.mass.gov/legis/laws/mgl/62-6.htm,,1979,,,,,,
67,145,1,"M.G.L. 64H.6(dd)",http://www.mass.gov/legis/laws/mgl/64h-6.htm,,1977,,,,,,
68,146,1,"M.G.L. ch. 59 § 5 (45, 45A)",http://www.mass.gov/legis/laws/mgl/59-5.htm,,"1975 (subsequently amneded)",,,,,,
69,147,1,"MGL ch. 63, § 38H",http://www.mass.gov/legis/laws/mgl/63-38h.htm,,1976,,,,,,
70,148,1,"MGL ch. 63, § 38H",http://www.mass.gov/legis/laws/mgl/63-38h.htm,,,,,,,,
71,149,1,"MGL ch. 62, § 2(a)(2)(G)",https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIX/Chapter62/Section2,,,,1979,,,,
72,151,1,"Minn. Stat. § 272.02",https://www.revisor.mn.gov/statutes/?id=272.02,,,,01/01/1992,,,,
73,154,1,"MCA § 15-6-224",http://leg.mt.gov/bills/mca/15/6/15-6-224.htm,,2005,,,,none,,
74,156,1,"La. R.S. 47:38",,,,,,,,,
75,242,1,"La. R.S. 47:287.757",,,,,,,,,
76,250,1,"Cal Gov Code Â§ 65892.13",,,10/5/01,,,,7/1/05,,
77,157,1,"Conn. Gen. Stat. Â§ 16-245n",http://www.cga.ct.gov/2011/pub/chap283.htm#Sec16-245n.htm,,4/1998,,1/1/2000,,"None specified",,
78,158,1,"NRS § 701A.200",http://www.leg.state.nv.us/NRS/NRS-701A.html#NRS701ASec200,,1975,,7/1/1983,,,,
79,159,1,"26 Del. C. § 1014",http://delcode.delaware.gov/title26/c010/index.shtml#P227_34895,,"1999 (subsequently amended)","1999-10-01 04:00:00",,,,,
80,160,1,"ND Century Code 57-02-08(27)",http://www.legis.nd.gov/cencode/t57c02.pdf,,"4/5/2007 (subsequently amended)",,7/1/2007,,,,
81,161,1,"ND Century Code 57-38-30.3",http://www.legis.nd.gov/cencode/t57c38.pdf,,4/9/2009,,1/1/2009,,12/31/2014,,
82,162,1,"35-A M.R.S. § 3210",http://www.mainelegislature.org/legis/statutes/35-A/title35-Asec3210.html,,"1997 (subsequently amended)",,,,,,
83,165,1,"ORS § 307.175",https://www.oregonlegislature.gov/bills_laws/ors/ors307.html,,1976,,,,7/1/2018,,
85,171,1,"SDCL Â§ 10-6-35.8 et seq.",http://legis.state.sd.us/statutes/DisplayStatute.aspx?Type=Statute&Statute=10-6,,1975,,,,7/1/2010,,
86,172,1,"Minn. Stat. Â§ 41A.09",,,1997,,,,6/30/2010,,
87,173,1,"Texas Tax Code § 11.27",http://www.statutes.legis.state.tx.us/Docs/TX/htm/TX.11.htm#11.27,,1981,,,,,,
88,174,1,"NY CLS Tax, Article 1 Â§ 19",,,"05/04/2000 (subsequently amended)",,2001,,"12/31/2010 for new certificates",,
89,178,1,"Wis. Stat. § 70.111(18)",http://nxt.legis.state.wi.us/nxt/gateway.dll?f=templates&fn=default.htm&d=stats&jd=70.111,,,,,,,,
91,182,2,"P.U.C. Substantive Rule 25.173",http://www.puc.state.tx.us/agency/rulesnlaws/subrules/electric/25.173/25.173.pdf,,"12/16/1999 (subsequently amended)",,01/10/2000,,,,
92,183,1,"N.C. Gen. Stat. § 105-277",http://www.ncleg.net/EnactedLegislation/Statutes/HTML/BySection/Chapter_105/GS_105-277.html,,1977,,,,,,
93,184,1,"Iowa Code § 441.21(8)",https://www.legis.iowa.gov/docs/code/2020/441.21.pdf,,,,01/01/1978,,,,
94,185,1,"Iowa Code § 427.1(29)",https://www.legis.iowa.gov/docs/code/427.1.pdf,,,,"(subsequently amended)",,,,
95,190,1,"Wis. Stat. § 196.378",http://nxt.legis.state.wi.us/nxt/gateway.dll?f=templates&fn=default.htm&vid=WI:Default&d=stats&jd=ch.%20196,,"10/27/1999 (subsequently amended)",,12/31/2001,,,,
96,192,1,"NYCL Real Property Tax § 487",https://www.nysenate.gov/legislation/laws/RPT/487,"1977-01-01 05:00:00","(subsequently amended)",,"Before 07/01/1988 or between 01/01/1991 & 12/31/2014","2025-01-01 05:00:00","(Subsequently amended)",,
97,193,1,"MD Public Utilities Code Â§7-505",http://mgaleg.maryland.gov/webmga/frmStatutesText.aspx?article=gpu&section=7-505&ext=html&session=2015RS&tab=subject5,,1999,,,,,,
101,197,1,"C.G.S. 12-412-67,68,69",,,,,,,7/1/2002,,
102,200,1,"RCW 82.63",,,1/1/95,,,,7/1/2004,,
103,203,1,"ORC Â§ 4928.61 et seq.",,,1999,,2001,,2011,,
104,205,1,"Minn. Stat. § 41B.043",https://www.revisor.mn.gov/statutes/?id=41b.043,,01/01/1995,,,,,,
105,206,1,"Minn. Stat. § 41B.046",https://www.revisor.mn.gov/statutes/?id=41b.046,,"05/11/1994 (subsequently amended)",,,,,,
106,209,1,"Iowa Code § 476.46",https://www.legis.iowa.gov/docs/code/476.46.pdf,,"1996 (subsequently amended)",,,,,,
107,215,1,"Miss. Code § 57-39-39",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=3dfdbfb3-f09f-4059-87d6-62be4c2191a0&nodeid=ABEABDAABAAM&nodepath=%2FROOT%2FABE%2FABEABD%2FABEABDAAB%2FABEABDAABAAM&level=4&haschildren=&populated=false&title=%C2%A7+57-39-39.+Energy+Development+,"1989-01-01 05:00:00",,,,,,,
108,216,1,"Tenn. Code Â§ 4-3-710",http://www.michie.com/tennessee/lpext.dll?f=templates&fn=main-h.htm&cp=tncode,,6/19/1987,,9/28/1987,,,,
109,218,1,"Va. Code Â§ 36-55.31:1",,,,,,,,,
110,219,1,"N.J. Stat. § 54:32B-8.33",https://lis.njleg.state.nj.us/nxt/gateway.dll?f=templates&fn=default.htm&vid=Publish:10.1048/Enu,,1980,,,,,,
