id,program_id,contact_id,webvisible
1,108,1789,0
2,108,1784,0
3,108,2380,0
4,108,5183,1
5,136,63,0
6,57,568,1
7,58,505,1
8,27,706,0
9,27,5344,0
10,28,1363,0
11,81,86,0
12,81,3333,0
13,81,4996,1
14,74,68,1
15,74,324,1
16,2987,2056,1
17,3116,3296,1
18,3123,3305,0
19,3123,3315,1
20,75,52,0
21,75,3605,1
22,437,68,1
23,437,665,0
24,2928,617,0
25,2928,722,0
26,2928,5149,1
27,3933,4081,1
28,3936,4086,1
29,3936,4447,0
30,3941,4451,0
32,3941,4087,1
33,3941,5221,1
34,4367,4472,1
35,4378,4479,0
36,4378,4480,0
37,4378,4481,1
38,4867,4282,1
39,4886,4818,1
40,4887,4819,1
41,4887,5582,0
42,4944,3465,1
43,4980,4904,1
44,2801,3529,0
45,2801,3527,1
46,3415,2168,1
47,3445,1928,1
48,2406,2633,1
49,2431,29,1
50,2432,2557,1
51,2984,5651,1
52,3490,3688,0
53,3490,4306,1
54,3560,3734,1
55,512,912,1
56,325,139,1
57,3884,4049,1
58,3886,4059,1
59,3886,4060,0
60,3893,4058,1
61,3895,4061,1
62,4534,3441,1
63,4559,2216,1
65,4561,4582,1
66,4578,1837,1
67,4587,4611,1
68,4588,4069,1
69,5335,5279,1
70,5011,4066,1
71,3572,3073,0
72,3572,3752,1
73,3706,3865,1
74,3706,4439,0
75,3709,3868,1
76,3709,4444,0
77,3711,3867,1
78,3711,4440,0
79,3712,3868,1
80,3712,4444,0
81,3718,3870,0
82,3720,3872,1
83,3720,3873,1
84,3722,3870,1
85,1772,2042,1
86,930,659,0
87,885,1169,1
88,885,1140,0
89,4385,4483,1
90,4396,4486,1
91,4993,4922,1
92,5127,5618,0
93,5127,5090,1
94,5127,5619,0
95,5130,5106,1
96,5153,5121,1
97,5170,4547,1
98,5170,4011,1
99,5170,4546,1
100,5170,3831,1
101,5180,5157,1
102,5189,5171,1
103,5193,5173,1
104,5209,3066,0
105,5209,5184,1
106,5214,5186,1
107,5218,1415,1
108,5218,4107,0
109,5371,1738,1
110,5396,5369,1
111,5400,5373,1
112,5400,5374,1
113,5400,5375,1
114,5400,5376,1
116,5589,5632,1
117,5589,5633,0
118,5594,5639,0
119,5623,633,1
120,5629,5682,1
121,5632,5626,0
122,5632,5692,0
123,5644,5708,1
124,5644,5709,0
125,5649,5717,1
126,3457,3674,1
127,3457,5507,0
128,1828,2076,1
129,3497,3694,0
130,3497,4307,1
131,3130,3310,1
132,3135,3318,1
133,1837,2090,1
134,1837,5583,0
135,1132,5647,0
136,1132,1738,1
138,3743,3891,1
139,4340,1928,1
140,3779,3932,1
141,3779,3934,1
142,3790,3950,1
143,3790,3951,1
144,3792,3956,1
145,3792,3957,1
146,4091,4254,1
147,4099,4256,1
148,4108,3623,0
149,4108,4518,0
150,4108,5204,1
151,4111,3090,1
152,4111,3089,1
153,4113,3540,0
154,4117,4267,1
155,4117,4268,0
156,4347,4462,1
157,4418,4489,1
158,4425,1452,0
159,4425,4394,1
160,4432,4984,1
161,5024,5067,0
162,5024,5068,1
163,5025,4522,1
164,5026,4522,1
165,5034,2863,1
166,5120,3176,1
167,5429,5409,1
168,5431,5410,1
169,5440,1911,1
170,5441,4772,1
171,3139,3319,1
172,2359,1611,1
173,2620,2794,1
174,1126,1599,0
175,1126,1713,1
176,2676,2033,1
177,3044,3215,1
178,3335,3547,1
179,1161,1616,0
180,1161,1624,0
181,3804,3970,1
182,3804,3971,1
183,4025,4202,1
184,4039,632,1
185,4040,3418,0
186,4040,3421,1
187,4040,5622,0
188,4042,4218,1
189,4043,5079,1
190,4229,4364,1
191,5001,3709,0
192,5001,4926,1
193,5014,4934,1
194,5019,4957,0
195,5019,4958,1
196,5041,5020,1
197,5041,5253,0
198,5041,5460,0
199,5047,3243,1
200,5047,4999,0
