id,program_id,label,value,display_order,template_id
1,1567,"Equipment Requirements","Specified in standards",0,1
2,1579,"Equipment Requirements","Specified in standards

",0,1
3,1582,"Equipment Requirements","Specified in standards

",0,1
4,1584,"Equipment Requirements","Specified in standards
",0,1
5,1583,"Equipment Requirements","Specified in standards
",0,1
6,3132,"Equipment Requirements","Product-specific requirements are outlined in the regulations",0,1
7,1709,"Equipment Requirements","Specified in Code of Federal Regulations",0,1
8,2828,"Equipment Requirements","Starting January 1, 2012, general purpose lights sold in the state must produce at least 25 lumens per watt",0,1
9,1562,"Equipment Requirements","Product-specific requirements are outlined in the regulations",0,1
10,5456,"Equipment Requirements",Test,0,1
11,1568,"Equipment Requirements","All state-developed standards have been preempted by federal regulation",0,1
12,1569,"Equipment Requirements","Specified in Standards

",0,1
13,1563,"Equipment Requirements","Specified in standards",0,1
14,1564,"Equipment Requirements","Specified in standards",0,1
15,1559,"Equipment Requirements","Specified in Standards",0,1
16,1567,"Test Methods","Massachusetts plumbing code or U.S. Department of Energy approved test methods",1,2
17,1579,"Test Methods","Specified in standards",1,2
18,1582,"Test Methods","Specified in standards or State Building Code of Rhode Island
",1,2
19,1584,"Test Methods","Specified in standards or the Washington State Building Code
",1,2
20,1583,"Test Methods","Specified in standards or Vermont residential building energy standards
",1,2
21,3132,"Test Methods","Product-specific requirements are outlined in the regulations",1,2
22,1709,"Test Methods",Varies,1,2
23,2828,"Test Methods",,1,2
24,1562,"Test Methods","Product-specific requirements are outlined in the regulations",1,2
25,5456,"Test Methods",,1,2
26,1568,"Test Methods","Standard New Jersey building code or United States Department of Energy approved test methods",1,2
27,1569,"Test Methods","To be determined",1,2
28,1563,"Test Methods","U.S. Department of Energy-approved test methods",1,2
29,1564,"Test Methods","Must be consistent with the testing standards established by the federal government in the Energy Policy Act of 2005",1,2
30,1559,"Test Methods","Not Specified",1,2
31,1567,"Certification Requirements","Manufacturers certify to the MA Department of Energy Resources that specified products meet minimum efficiency standards",2,3
32,1579,"Certification Requirements","Manufacturers certify to the Oregon State Department of Energy that products meet efficiency standards. The Department establishes rules governing the certification of these products and may coordinate with the certification programs of other states and federal agencies with similar standards.",2,3
33,1582,"Certification Requirements",,2,3
34,1584,"Certification Requirements","Manufacturers certify to the Department of Commerce that products are in compliance with minimum efficiency requirements.  The Department promulgates regulations governing the certification of products and may coordinate with the certification programs of other states and federal agencies. 
",2,3
35,1583,"Certification Requirements","Manufacturers certify to the VT Department of Public Service that products are in compliance with minimum efficiency requirements. The DPS promulgates regulations governing the certification of products and may coordinate with the certification programs of other states and federal agencies.
",2,3
36,3132,"Certification Requirements",,2,3
37,1709,"Certification Requirements",,2,3
38,2828,"Certification Requirements",,2,3
39,1562,"Certification Requirements","Specified in standards",2,3
40,5456,"Certification Requirements",,2,3
