,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1990,10.11,6.59,8.07,9.04,9.98,7.02,10.01,6.1,8.39,7.77,7.46,10.26,7.81,4.87,9.92,6.87,7.83,5.69,7.41,9.66,7.22,9.3,7.83,6.8,7.36,6.89,5.45,7.84,6.26,6.23,10.34,10.36,8.94,5.7,11.44,8.05,6.58,4.73,9.22,9.84,7.15,6.95,5.69,7.2,7.83,7.13,7.25,9.27,4.39,6.63,5.9,5.97
1991,10.67,6.69,8.1,9.14,10.79,7.07,10.51,6.58,8.62,7.91,7.5,10.52,7.76,4.88,9.87,6.73,7.83,5.68,7.4,10.4,7.9,10.45,8.06,6.92,7.39,6.88,5.76,7.95,6.21,6.09,10.38,10.81,9.08,5.89,11.97,8.16,7.03,4.81,9.58,10.99,7.22,6.91,5.65,7.57,8.04,7.12,7.34,9.53,4.36,6.73,5.91,6.0
1992,10.82,6.69,8.28,9.58,11.07,7.2,11.07,6.61,8.66,7.75,7.73,10.9,8.02,4.93,10.29,6.86,7.9,5.7,7.52,10.62,7.97,11.37,8.11,7.01,7.44,7.01,5.84,8.11,6.33,6.27,11.36,10.87,9.06,6.19,12.43,8.24,7.17,4.93,9.67,11.17,7.19,7.1,5.7,7.74,8.21,6.97,7.63,9.56,4.46,6.91,6.17,6.08
1993,11.15,6.82,8.27,9.65,11.3,7.24,11.39,7.18,9.01,7.99,7.79,12.28,8.02,4.99,10.28,6.67,7.86,5.7,7.76,11.0,8.21,11.43,8.16,7.09,7.26,7.12,5.77,8.18,6.31,6.25,12.31,11.41,9.18,6.51,13.17,8.36,7.14,5.02,9.55,11.38,7.33,7.04,5.76,8.0,8.32,6.85,7.57,9.84,4.6,7.03,6.3,5.96
1994,11.32,6.69,8.07,9.3,11.43,7.36,11.47,7.47,8.91,7.78,7.72,12.45,8.09,5.09,9.98,6.78,7.89,5.77,7.61,11.09,8.39,12.32,8.28,7.16,7.29,7.06,5.96,8.17,6.37,6.31,12.91,11.54,9.14,7.16,13.55,8.56,7.03,5.33,9.55,11.26,7.49,7.06,5.88,8.08,8.38,6.91,7.75,9.96,4.97,7.08,6.36,6.04
1995,11.24,6.71,7.98,9.09,11.61,7.42,11.95,7.62,9.09,7.82,7.85,13.32,8.24,5.33,10.37,6.74,7.92,5.62,7.23,11.26,8.43,12.51,8.34,7.17,7.25,6.99,6.09,8.12,6.23,6.37,13.5,11.98,8.93,7.11,13.9,8.6,6.82,5.49,9.72,11.47,7.53,7.08,5.91,7.71,8.4,6.94,7.84,10.52,4.97,6.97,6.5,6.09
1996,11.36,6.63,7.77,8.95,11.33,7.49,12.05,7.77,8.97,7.99,7.66,14.26,8.16,5.28,10.34,6.77,7.86,5.55,7.55,11.25,8.26,12.58,8.47,7.13,7.08,7.04,6.22,8.05,6.19,6.29,13.44,11.99,8.93,6.9,14.04,8.6,6.71,5.69,9.73,11.81,7.5,7.0,5.88,7.77,8.895,6.96,7.6,10.99,5.03,6.88,6.38,6.13
1997,11.44,6.74,7.8,8.82,5.75,7.42,12.13,7.87,9.22,8.08,7.74,14.8,8.21,2.575,9.43,6.94,7.71,5.58,7.39,10.01,8.33,12.75,8.57,7.23,3.545,7.02,6.4,8.03,6.27,6.38,11.049999999999999,12.08,8.92,6.77,11.275,8.63,6.63,2.78,9.165,6.06,7.51,7.08,6.03,7.82,8.43,6.89,7.75,11.45,2.475,6.88,6.26,6.22
1998,11.5,6.94,7.51,8.68,9.43,7.45,11.95,8.0,9.13,7.89,7.67,13.82,8.38,2.64,9.055,7.01,7.65,5.61,7.07,10.6,8.44,13.02,8.67,7.33,3.54,7.03,3.25,8.01,6.49,6.46,11.09,11.39,8.85,7.0,10.959999999999999,8.7,6.57,7.039999999999999,9.094999999999999,9.584999999999999,7.5,7.27,6.32,7.65,8.26,6.84,7.51,11.61,2.515,7.17,6.29,6.28
1999,11.16,7.03,7.43,8.53,7.387500000000001,7.38,11.46,8.0,4.585,7.73,7.56,14.3,8.35,2.63,6.915,6.96,7.64,5.58,7.12,7.795,8.39,13.07,4.365,7.41,3.56,6.75,3.39,7.99,6.5,6.52,8.34,8.07,5.655,7.13,8.5475,4.34,6.6,2.875,6.587499999999999,6.692499999999999,7.55,7.42,6.34,7.55,8.165000000000001,6.27,7.48,12.17,2.55,7.31,6.27,6.34
2000,11.45,7.05,7.45,4.22,9.802000000000001,7.31,10.86,8.03,5.531999999999999,7.77,7.6,16.41,8.37,5.39,3.532,6.87,7.65,5.47,7.67,8.766,5.128,9.99,5.897999999999999,7.52,7.04,6.93,7.014000000000001,7.97,6.44,6.53,11.093999999999998,7.9239999999999995,5.59,7.28,10.522,3.444,7.03,5.88,8.452,4.512,7.58,7.42,6.33,7.96,8.116,6.29,7.52,12.3,2.052,7.53,6.27,6.5
2001,12.12,7.01,7.72,8.3,9.924000000000001,7.47,8.142000000000001,5.845999999999999,5.708,8.59,7.72,16.34,8.41,6.01,3.4840000000000004,6.92,7.66,5.58,7.92,10.404000000000002,6.453999999999999,10.766,3.304,7.61,7.0,7.37,4.630000000000001,8.12,6.47,6.5,4.996,7.517999999999999,8.74,9.08,11.606,7.269999999999999,7.27,6.29,8.606,4.852,7.69,7.42,6.32,7.362,8.258,6.72,6.104,12.67,2.2800000000000002,7.9,6.26,6.77
2002,12.05,7.12,7.25,8.27,10.622,7.37,8.564000000000002,6.351999999999999,3.4799999999999995,8.16,7.63,15.63,8.35,6.59,3.3560000000000003,6.91,7.67,5.65,7.1,9.907999999999998,6.2700000000000005,10.23,3.312,7.49,7.06,7.28,5.308,8.19,6.39,6.73,9.954,8.308,8.5,9.43,11.448,7.468000000000001,6.73,7.12,8.686000000000002,7.866,7.72,7.4,6.41,8.05,8.168,6.79,6.604000000000001,12.78,2.516,8.18,6.23,6.97
2003,11.98,7.39,7.24,8.35,10.027999999999999,8.14,8.684000000000001,6.2540000000000004,3.436,8.55,7.7,16.73,8.57,6.24,3.3520000000000003,7.04,7.71,5.81,7.84,10.193999999999999,6.238,9.181999999999999,3.34,7.65,6.96,7.6,5.004,8.32,6.49,6.87,4.792,8.462,8.69,9.02,11.639999999999999,7.366000000000001,7.47,7.06,8.406,4.644,8.01,7.47,6.55,9.16,8.096,6.9,7.044,12.82,2.524,8.67,6.24,7.04
2004,12.44,7.62,7.36,8.46,9.898000000000001,8.42,9.276,6.506,3.5119999999999996,8.99,7.86,18.06,8.96,3.05,3.348,7.3,7.74,6.11,8.05,9.942,6.616,9.005999999999998,7.1800000000000015,7.92,6.97,8.21,3.144,8.45,6.79,6.96,4.996,8.62,8.67,4.845,11.203999999999999,7.433999999999999,7.72,2.872,8.838,8.936000000000002,8.12,7.65,6.9,9.73,8.174,7.21,7.5,12.94,2.548,9.07,6.23,7.21
2005,13.3,8.0,8.0,8.86,11.774000000000001,9.06,10.918,7.437999999999998,3.604,9.62,8.64,20.7,9.27,6.29,3.336,7.5,7.9,6.57,8.87,11.532,7.151999999999999,9.81,7.223999999999999,8.28,7.08,8.71,3.2399999999999998,8.65,6.99,7.14,5.404,9.572,9.13,4.08,11.767999999999999,7.5120000000000005,7.95,2.9,8.672,5.215999999999999,8.67,7.77,6.98,10.93,8.674,7.52,7.275999999999999,12.96,2.616,9.66,6.21,7.48
2006,14.83,8.75,8.85,9.4,13.072,9.02,13.538,8.178,10.028,11.33,8.91,23.35,9.63,6.21,3.368,8.22,8.25,7.02,9.14,14.3,8.280000000000001,10.956,7.952,8.7,7.44,9.66,3.312,9.12,7.14,7.41,5.872,11.402000000000001,9.06,4.432,13.422,7.773999999999999,8.55,2.992,9.168,11.6,9.03,7.83,7.75,12.86,9.922,7.59,8.244000000000002,13.39,2.728,10.51,6.35,7.75
2007,15.18,9.32,8.73,9.66,13.734,9.25,13.873999999999999,9.831999999999999,10.168000000000001,11.22,9.1,24.12,9.45,6.36,4.048,8.26,8.19,7.34,9.37,13.443999999999999,9.854000000000001,12.554,4.0840000000000005,9.18,7.69,9.36,6.364,9.4,7.3,7.59,12.379999999999999,5.656000000000001,9.12,4.728,13.972,7.953999999999999,8.58,3.276,9.788,13.969999999999999,9.19,8.07,7.84,12.34,10.568000000000001,8.15,8.478,14.15,2.904,10.87,6.73,7.75
2008,16.56,10.4,9.27,10.27,13.719999999999999,10.13,15.894,11.2,11.924,11.65,9.93,32.5,9.49,2.7960000000000003,9.035999999999998,8.87,8.89,7.94,10.28,14.632,11.844,12.790000000000001,8.582,9.74,8.0,10.39,7.326000000000002,9.52,7.515,7.87,12.164,12.656,10.01,4.772,15.613999999999999,8.313999999999998,9.09,3.396,10.296000000000001,13.565999999999999,9.89,8.27,8.91,13.03,11.494,8.26,9.046,14.48,3.016,11.51,7.06,8.21
2009,17.14,10.66,9.14,10.73,12.05,10.0,16.186,11.566,11.942,12.39,10.13,24.2,9.99,3.12,9.004000000000001,9.5,9.53,8.37,8.1,14.128,12.298,12.61,9.232000000000001,10.04,8.54,10.22,7.164,9.99,7.58,8.52,14.193999999999999,13.063999999999998,10.02,5.144,14.788,8.818000000000001,8.49,3.472,10.242,12.66,10.44,8.49,9.32,12.38,11.382,8.48,9.896,14.9,3.068,11.94,7.9,8.58
2010,16.26,10.67,8.86,10.97,14.074000000000002,11.04,15.225999999999999,11.136,11.52,11.44,10.07,28.1,10.42,3.196,10.928,9.56,10.03,8.57,8.98,12.565999999999999,11.315999999999999,12.526,10.017999999999999,10.59,9.08,9.87,7.364,10.12,8.13,8.94,13.1,12.828,10.52,4.944,15.462,9.052,9.14,3.5479999999999996,10.232,12.102,10.5,8.97,9.23,11.6,10.712,8.71,10.45,15.57,3.2159999999999997,12.65,8.79,8.77
2011,17.62,11.09,9.02,11.08,15.065999999999999,11.27,14.554000000000002,10.532,10.594000000000001,11.51,11.05,34.68,10.46,7.87,9.342,10.06,10.65,9.2,8.96,12.288,10.696,12.129999999999999,10.608,10.96,9.75,10.17,7.836,10.26,8.58,9.32,12.584,13.012,11.0,4.644,14.972000000000003,9.014,9.47,3.816,10.633999999999999,11.318000000000001,11.05,9.35,9.98,11.08,10.496,8.96,10.64,16.26,3.312,13.02,9.39,9.11
2012,17.88,11.4,9.3,11.29,14.156,11.46,13.958000000000002,9.904,10.658,11.42,11.17,37.34,10.82,8.67,8.616,10.53,11.24,9.43,8.37,12.286,10.348,11.57,11.298000000000002,11.35,10.17,10.26,8.1,10.91,9.06,10.04,12.142,12.441999999999998,11.375,4.732,14.522,9.27,9.51,3.9200000000000004,10.203999999999999,11.37,11.77,10.07,10.1,10.98,10.186,9.93,11.08,17.01,3.412,13.19,9.85,9.85
2013,18.12,11.26,9.59,11.71,13.824000000000002,11.93,14.306000000000001,10.114,10.515999999999998,11.27,11.46,36.98,11.04,9.32,8.436000000000002,10.99,11.64,9.79,9.43,13.062000000000001,10.674,11.37,11.756,11.81,10.6,10.78,8.306000000000001,10.97,9.12,10.31,12.139999999999999,12.802000000000001,11.68,4.756,15.498000000000001,9.452,9.67,3.96,10.302,12.596,11.99,10.26,9.98,11.35,10.216,10.37,10.84,17.14,3.4799999999999995,13.55,9.52,10.16
2014,19.14,11.48,9.51,11.9,13.322,12.18,16.32,10.654,11.328,11.89,11.65,37.04,11.16,9.72,9.538,11.46,12.17,10.16,9.57,14.501999999999999,11.282,12.024,11.414,12.01,10.64,11.32,8.072,11.1,9.15,10.4,13.424000000000001,13.374,12.28,5.172,16.828,9.888,10.03,4.188000000000001,10.876000000000001,14.166,12.45,10.47,10.32,11.86,10.852,10.65,4.4399999999999995,17.47,3.468,13.67,9.34,10.5
2015,19.83,11.7,9.82,12.13,13.931999999999999,12.12,17.052,11.166,11.422,11.58,11.54,29.6,11.63,9.93,9.988,11.57,12.34,10.24,9.33,16.357999999999997,11.546000000000001,13.564000000000002,10.754000000000001,12.12,11.21,11.27,9.02,11.28,9.62,10.6,14.592000000000002,13.14,12.47,5.104,15.963999999999999,10.25,10.14,4.264,11.164,15.817999999999998,12.57,11.08,10.3,11.56,11.16,10.88,4.548,17.09,3.636,14.11,10.08,10.97
2016,20.3,11.99,9.92,12.15,15.142000000000001,12.07,16.348000000000003,10.696000000000002,11.216000000000001,10.98,11.5,27.47,11.94,9.95,10.168,11.79,13.06,10.49,9.34,15.716,11.814,13.612,11.964,12.67,11.21,10.47,8.776,11.03,10.16,10.84,14.25,12.846,12.03,4.564,15.107999999999999,9.964000000000002,10.2,4.264,11.42,15.468,12.65,11.47,10.41,10.99,11.162,11.02,4.544,17.37,3.7920000000000003,14.07,11.44,11.13
2017,21.27,12.55,10.28,12.44,15.675999999999998,12.17,16.572,11.097999999999999,11.252,11.61,11.9,29.5,12.34,10.04,10.510000000000002,12.29,13.31,10.85,9.74,16.630000000000003,11.674000000000001,13.607999999999999,12.379999999999999,13.04,11.63,11.08,8.744,10.94,10.29,10.97,14.73,12.835999999999999,12.88,4.796,15.418000000000001,10.128,10.61,4.264,11.702,15.552000000000001,13.02,11.77,10.72,11.01,11.528,10.95,4.62,17.68,3.864,14.35,11.63,11.37
2018,21.94,12.18,9.81,12.77,16.102,12.15,17.358,11.05,10.78,11.54,11.47,32.47,12.24,10.15,10.297999999999998,12.26,13.35,10.6,9.59,17.698,11.192,14.172,12.413999999999998,13.14,11.34,11.12,9.052000000000001,11.09,10.25,10.7,16.276,12.872,12.68,4.74,15.794,10.102,10.3,4.392,11.540000000000001,17.068,12.44,11.59,10.71,11.2,11.616000000000001,10.41,4.692,18.02,3.9,14.02,11.18,11.29
2019,22.92,12.53,9.8,12.43,15.918000000000001,12.18,17.926,11.302,10.831999999999999,11.7,11.76,32.06,12.46,9.89,10.613999999999999,12.58,12.71,10.8,9.8,18.020000000000003,11.136,15.158000000000001,12.675999999999998,13.04,11.14,11.27,9.022,11.42,10.3,10.77,16.754,13.146,12.51,4.8,15.452000000000002,9.95,10.21,4.404,11.562000000000001,18.308,12.99,11.55,10.87,11.76,11.88,10.4,4.828,17.71,3.8840000000000003,14.18,11.25,11.18
2020,23.828489583678127,12.509736812493452,9.895633906670524,12.622022007511275,15.794248684897546,12.120841090215663,19.2298623348947,11.462241682896138,10.878961242694613,11.86479996119412,11.71345899868725,31.527167751394355,12.763873124978486,9.68506142008678,10.881435838488555,12.864779933660476,12.520100476563547,10.921883466395265,9.94628165446937,18.44831004909381,11.036980749280751,14.62645589539397,12.493936690230486,13.10087186533308,11.379581059605377,11.477385035720161,9.491285304193262,11.71492119425246,10.451772252197102,11.151603636947208,17.431356208365994,12.612172247618735,13.151437003962371,4.7299247573701875,15.310496944672218,10.081665339054336,10.211168934537698,4.3555813998270265,11.54669457630872,17.422704052701924,12.96500815255103,11.669547012439706,10.983545710348922,12.51618024776737,12.133617813569652,10.388233986210965,5.50287455097032,17.65908595032579,3.8422472268347994,14.051434301874188,11.49004648328918,11.091076068161975
2021,24.31674371157221,12.405101547814727,9.78226369602121,12.667363470937163,15.75975913146567,12.043061357420504,19.830019020584164,11.38077266846074,11.022340641564925,11.556933110879443,11.57405731967731,30.661071605774637,12.873871923055729,9.306529760532563,10.75105711178629,12.973607295001457,12.366265692924173,10.746188881107418,10.111539136812281,18.274477633153086,11.019098240358707,14.422914015085002,12.7094772347905,13.203877504264003,11.304563545705339,11.191240785622849,9.073706015348874,12.039048228125793,10.546273192037194,11.123046008354981,16.90575991863451,12.478747698352226,12.96444342455113,4.893112433147225,15.034656099101044,9.810421410655701,10.112702508435618,4.069214113568258,11.555497659873375,18.076228240075828,12.859292708199982,11.669109814893115,11.005408969948448,13.024358951989768,12.186928541711035,10.1858192902518,6.011227126662718,17.909237719933238,3.797963556984746,14.229909431843973,11.649368145926044,10.832798589533972
2022,25.233629673296846,12.47890650686111,9.891574471061185,12.695593599995789,15.805684695599801,11.829580816629713,19.047895924000105,11.317451812526347,10.637293323474639,11.804370010172352,11.434027842242958,30.07689339437862,13.136898978668624,9.152604797459889,10.127998829937267,13.204567622880964,12.225255770109564,10.816229965812111,10.069103145926809,18.217983532499332,11.08367226961636,14.59653450863075,12.631443186903404,13.249157998695845,11.704518291029899,11.28306918481763,9.324970155527174,12.363478335684546,10.582100416624906,11.115913968442497,16.625005731513216,12.314190303535987,13.113392645955164,4.898588974024524,15.213690074387392,9.714698078184025,10.19559172988511,4.159426389164973,11.531781090291828,18.156315615140045,13.23578320690391,11.56338905322808,11.046097788156752,12.762183025475016,12.1440822041612,10.222972736198939,6.3491571189273746,18.26474518745913,3.7566604290602634,14.097648763288841,11.622581309949672,10.569365599170899
2023,25.70418453809682,12.306452110722802,9.726955247585153,12.682196777800728,15.876904456243672,11.810801471557243,18.190610164999924,11.264369120056683,11.033824468602687,11.784345578880506,11.638265186242759,30.154563368578373,13.261398274838507,9.081168175280194,9.685066736881021,13.348448714329603,11.879327284204416,10.801097950718908,10.139774831856545,18.227665574073992,11.12047294982488,14.532476030912514,12.758668827178031,13.246702181531564,11.702367606248185,11.32249265749908,9.189044964060374,12.515161525838426,10.536627122899143,11.342417979198322,15.68309488491662,12.124067512662114,13.114649702307746,4.954242248077695,15.310492160495713,9.662728329345226,10.288105022533884,4.278176054092493,11.550227169615862,17.470913082465614,13.168899297685718,11.397046125301388,11.031639821064424,12.623776307735115,12.045548009977004,10.172333072032995,6.636405786918237,18.522359125555923,3.722089801536812,14.038884246557126,11.736036441670656,10.32653345665182
2024,26.372600181898964,12.429520486069405,9.816282158755994,12.666176017852832,15.909588229836023,11.68859855288642,18.241607268116336,11.240569088800816,10.555584770344588,11.78966984498067,11.51382032717353,30.1339622827942,13.407281546474785,9.090307562715038,9.25143094751519,13.504027761585723,11.433150366565679,10.666193030534473,10.2467461038971,18.257008160119046,11.111899351385398,14.14642347854158,12.844649562142383,13.237081176476886,11.619418954527104,11.34080528412689,9.24377981169346,12.627104912766553,10.504286031642884,11.47531654585974,15.090020786862105,11.964538522834681,13.1407081800059,4.951035433147839,15.291735602292981,9.582211642332183,10.228375626811467,4.154243611012692,11.538171922702293,17.51054279950526,13.236657982633915,11.270330043879445,11.018617962419738,12.590539283208026,11.99330069061909,10.14736088412452,6.914606287344769,18.553892978189726,3.694191453979046,13.98728741716874,11.790770344655158,10.110014615352556
2025,27.011466412536496,12.40603641230227,9.773778993863036,12.672299996640593,15.919267899264543,11.599254637056571,18.232826601340694,11.225195189802342,10.917083276357284,11.787104467780072,11.587477235615687,30.12365465505213,13.542945615436095,9.07914519324776,8.881518319408677,13.646440470701712,11.082934109756739,10.660077012313836,10.346923015677426,18.248707165789142,11.110425918788964,13.900497246492979,12.823243087999838,13.228116679276237,11.529495763520025,11.34099371872108,9.266561664016015,12.73920326371159,10.476609897886197,11.525604483468976,14.977998255292082,11.833265678021691,13.157674903325068,4.953893579801222,15.251754016990244,9.508970128250805,10.191549184325298,4.265377890896697,11.545719539904207,17.457919802204653,13.295197431804336,11.226942129838037,11.016063060891424,12.647313457948497,11.975705070202599,10.128962012838508,7.073029848971993,18.62633429812084,3.6716322606741336,13.939110301985187,11.834469933953528,9.92765544985499
