,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1990,1661311.0,20718677.0,10557866.0,15377684.0,66574670.0,9787280.0,10375882.0,1480356.0,2651448.0,71114670.0,29932837.0,2323950.0,10513101.0,5626311.0,32871442.0,22110951.0,9514696.0,16813546.0,21433523.0,15581197.0,19101665.0,3932266.0,25318849.0,14857556.0,21652354.0,12265641.0,3358385.0,33144040.0,2954024.0,6799606.0,3444195.0,20497980.0,3565532.0,5539534.0,38574310.0,37889450.0,17077366.0,15379614.0,38164153.0,2376295.0,18257716.0,2866175.0,28756837.0,82547572.0,924018699.0,4246106.0,28129556.0,1808617.0,28808844.0,16385266.0,7577864.0,1719933.0
1991,1602777.0,21293428.0,11000632.0,15641499.0,66016700.0,10099387.0,10440510.0,1580079.0,2824340.0,72813985.0,30186631.0,2395661.0,11159190.0,5971037.0,35963792.0,24220121.0,9933309.0,18644458.0,21576815.0,15379421.0,20295448.0,3817137.0,26759510.0,15655101.0,23386303.0,12517521.0,3458893.0,34390834.0,3096207.0,7138298.0,3356705.0,21539103.0,3665112.0,5781827.0,39177425.0,40942449.0,15324941.0,15949119.0,39597640.0,2368833.0,18706762.0,3039891.0,29605275.0,84088111.0,955417350.0,4460042.0,29607347.0,1783451.0,29889138.0,17349467.0,8106273.0,1819415.0
1992,1640136.0,21136706.0,10440088.0,16230297.0,68121106.0,10215713.0,10496045.0,1487974.0,2786231.0,73188925.0,30527585.0,2438376.0,10290462.0,5738743.0,32367011.0,22837036.0,8872898.0,17786738.0,21187677.0,15560071.0,19762032.0,3829582.0,25670669.0,14847981.0,21293574.0,12422486.0,3286365.0,34761066.0,3020003.0,6561472.0,3428234.0,20547017.0,3791300.0,6064333.0,38719529.0,39140657.0,14253849.0,15202148.0,39245065.0,2363314.0,18939700.0,2842524.0,29498153.0,81933581.0,935938788.0,4505460.0,29780325.0,1927133.0,28435824.0,16614668.0,8138301.0,1762625.0
1993,1629036.0,22627783.0,11761761.0,16705090.0,67358692.0,10655734.0,10596641.0,1634807.0,3043825.0,76827417.0,33866821.0,2468578.0,11103104.0,6245111.0,35225722.0,24978467.0,9986318.0,19223127.0,22430246.0,15785272.0,21546122.0,3872293.0,26770174.0,15596985.0,24182047.0,13199806.0,3597987.0,37742397.0,3209081.0,7226029.0,3420322.0,22042043.0,3884263.0,6280698.0,39897465.0,41950456.0,15901344.0,16696260.0,41455430.0,2411808.0,20686869.0,3109114.0,30199490.0,87685723.0,994780818.0,4725974.0,32472064.0,1971082.0,30932034.0,17373396.0,8682375.0,1906135.0
1994,1688134.0,23158543.0,11642130.0,18212371.0,68866355.0,10938748.0,10898426.0,1571539.0,3107179.0,80595125.0,32734558.0,2556879.0,11061653.0,6221886.0,35705729.0,25048144.0,10130537.0,19480850.0,22628608.0,16048966.0,21666119.0,3691828.0,27174208.0,16006557.0,24056901.0,13641721.0,3566917.0,37206780.0,3242829.0,7379419.0,3430562.0,22153557.0,4079696.0,6844708.0,40104842.0,41791275.0,16127874.0,16462155.0,42238893.0,2456722.0,19903087.0,3147027.0,32796716.0,89792702.0,1008481682.0,5008938.0,32343035.0,2009429.0,29672858.0,17660152.0,8662897.0,1864918.0
1995,1712906.0,24313900.0,12416960.0,18035537.0,68782855.0,11306705.0,10759880.0,1608442.0,3168325.0,85769777.0,35812315.0,2606284.0,11639680.0,6193159.0,38386140.0,26560115.0,10355800.0,20537145.0,24116405.0,15992797.0,22233806.0,3628879.0,28622895.0,16974435.0,25408756.0,14181239.0,3639879.0,39506250.0,3383623.0,7596719.0,3364430.0,22469707.0,4124028.0,6655122.0,39887485.0,44010400.0,16319162.0,16314688.0,42801877.0,2471630.0,21392287.0,3268121.0,30966826.0,92831137.0,1042501471.0,5040743.0,33471693.0,1973274.0,30147253.0,18634995.0,9165753.0,1939252.0
1996,1766184.0,25634024.0,12933994.0,19746491.0,71396104.0,11870577.0,10942903.0,1614293.0,3271209.0,88314752.0,37762979.0,2675881.0,11537222.0,4338645.333333333,25036127.333333332,26860496.0,10672347.0,21353214.0,24310803.0,16255780.0,22985771.0,3679190.0,28901473.0,17157124.0,26447604.0,14964600.0,3910516.0,41591843.0,3601630.0,7740905.0,2286084.6666666665,22632226.0,4328452.0,7526332.0,40284542.0,44573250.0,17302792.0,11523096.666666666,43644620.0,2480612.0,22513555.0,3426185.0,35333276.0,99656148.0,721674500.6666666,5481283.0,34650534.0,2006213.0,21341630.0,18684891.0,9276528.0,2022027.0
1997,1725834.0,24893128.0,12989655.0,20682568.0,48724181.333333336,12260908.0,10858915.0,1553682.0,3257281.0,87845337.0,36830702.0,2668050.0,11673483.0,4418619.333333333,24842806.0,26550478.0,10862127.0,20998186.0,24501646.0,10852157.333333334,21936663.0,3658971.0,28726279.0,17073458.0,17730168.0,14817360.0,3803973.0,40611106.0,3436886.0,7988645.0,2259057.3333333335,22286447.0,4501977.0,7801402.0,26706169.333333332,43634915.0,17375599.0,11456349.333333334,28523304.666666668,1657620.0,21611334.0,3376342.0,33366969.0,101094027.0,717253398.6666666,5660706.0,33923494.0,1992280.0,21166146.666666668,18510446.0,9026671.0,2007299.0
1998,1767992.0,27327100.0,14339398.0,21610888.0,50136988.0,12651635.0,10934821.0,1595611.0,3338949.0,95768182.0,41519253.0,2640645.0,11855408.0,4406797.333333333,26471371.333333332,27334287.0,11831973.0,21669405.0,26708911.0,16387951.0,22406858.0,3589078.0,29807978.0,17378235.0,18843004.666666668,16392306.0,2481647.3333333335,42890314.0,3272102.0,8160194.0,2267171.3333333335,23190705.0,4641931.0,7974769.0,27042132.666666668,44516171.0,19510723.0,11685732.0,28615066.0,1681366.6666666667,23558044.0,3303404.0,35427693.0,110433808.0,753406080.0,5755763.0,34703132.0,1951338.0,20908162.0,19087369.0,9053002.0,2012635.0
1999,1865743.0,27047743.0,14045427.0,22517435.0,50202133.333333336,13130575.0,11618971.0,1642704.0,2354637.3333333335,93846127.0,41766549.0,2689147.0,11866839.0,4537650.666666667,26420424.666666668,28805508.0,11347230.0,22547555.0,26425618.0,11594910.0,23342423.0,3704413.0,20440791.333333332,17997554.0,18510618.666666668,16321419.0,2442942.6666666665,43648445.0,3306676.0,7929449.0,2426774.0,16367217.333333334,3099468.6666666665,8385628.0,28612820.0,31085669.333333332,18301131.0,12038566.0,29417576.0,1778268.0,23698794.0,3302179.0,35424922.0,108591468.0,763282046.0,6236407.0,35778745.0,1998569.0,21878013.333333332,19501670.0,9452188.0,2025096.0
