id,name,state_id,utility_id
1,"Abbeville City of",47,34
2,"Aberdeen City of",28,55
3,"City of Abbeville",22,59
4,"A & N Electric Coop",24,84
5,"A & N Electric Coop",54,84
6,"City of Ada",27,87
7,"Adams Electric Coop",17,97
8,"Adams-Columbia Electric Coop",57,108
9,"Adams Rural Electric Coop, Inc",40,118
10,"Village of Arcade",37,122
11,"City of Adel",13,123
12,"City of Afton",19,149
13,"Adrian Public Utilities Comm",27,150
14,"Agralite Electric Coop",27,155
15,"Town of Advance",18,157
16,"Aiken Electric Coop Inc",47,162
17,"Aitkin Public Utilities Comm",27,174
18,"Ajo Improvement Co",4,176
19,"City of Akron",19,182
20,"Village of Akron",37,183
21,"Alamo Power District No 3",33,191
22,"Akiachak Native Community Electric Co",2,192
23,"Alabama Power Co",1,195
24,"City of Alton",19,198
25,"City of Alachua",12,201
26,"Town of Black Creek",38,202
27,"City of Alameda",6,207
28,"Alaska Electric Light&Power Co",2,213
29,"Alaska Power and Telephone Co",2,219
30,"Alaska Village Elec Coop, Inc",2,221
31,"City of Albany",29,228
32,"City of Albany",17,229
33,"Albany Water Gas & Light Comm",13,230
34,"City of Albemarle",38,232
35,"Albemarle Electric Member Corp",38,240
36,"Albertville Municipal Utils Bd",1,241
37,"City of Albion",16,244
38,"City of Alpha",27,266
39,"Alcorn County Elec Power Assn",28,276
40,"Village of Arcadia",40,282
41,"Alder Mutual Light Co, Inc",55,287
42,"City of Alexander City",1,289
43,"City of Alexandria",27,295
44,"Alfalfa Electric Coop, Inc",20,296
45,"Alfalfa Electric Coop, Inc",41,296
46,"City of Alexandria",22,298
47,"Alger-Delta Coop Electric Assn",26,305
48,"Algoma Utility Comm",57,307
49,"City of Acworth",13,308
50,"City of Algona",19,309
51,"Allamakee-Clayton El Coop, Inc",19,329
52,"City of Allendale",17,366
53,"City of Alliance",32,367
54,"City of Alma",20,385
55,"Alpena Power Co",26,392
56,"City of Alta",19,405
57,"Altamont City of",17,406
58,"Altamaha Electric Member Corp",13,407
59,"City of Altamont",20,408
60,"City of Altus",41,416
61,"City of Alta Vista",19,432
62,"Amana Society Service Co",19,471
63,"City of Alvarado",27,482
64,"Ames City of",19,554
65,"City of Amherst",40,560
66,"Amicalola Electric Member Corp",13,562
67,"City of Amory",28,571
68,"City of Alcoa Utilities",49,577
69,"Anadarko Public Works Auth",41,588
70,"City of Anaheim",6,590
71,"Anchorage Municipal Light and Power",2,599
72,"City of Andalusia",1,604
73,"City of Anderson",18,636
74,"Village of Andover",37,661
75,"Village of Angelica",37,669
76,"City of Anita",19,682
77,"Connexus Energy",27,689
78,"City of Bardstown",21,690
79,"City of Anoka",27,691
80,"Anza Electric Coop Inc",6,694
81,"City of Ansley",32,695
82,"City of Anthon",19,700
83,"Anthony City of",20,701
84,"Arkansas River Power Authority",36,712
85,"Town of Apex",38,719
86,"City of Aplington",19,723
87,"Appalachian Electric Coop",49,727
88,"Appalachian Power Co",54,733
89,"Appalachian Power Co",56,733
90,"Aguila Irrigation District",4,737
91,"Arab Electric Coop Inc",1,750
92,"City of Arapahoe",32,752
93,"City of Arcadia",20,764
94,"Arcadia City of",57,765
95,"Arcanum City of",40,768
96,"Town of Argos",18,789
97,"City of Argyle",57,792
98,"Arizona Power Authority",4,798
99,"Arizona Public Service Co",4,803
100,"Entergy Arkansas Inc",5,814
101,"Entergy Arkansas Inc",49,814
102,"Arkansas Valley Elec Coop Corp",5,817
103,"Arkansas Valley Elec Coop Corp",41,817
104,"City of Arlington",27,828
105,"City of Arlington",48,831
106,"City of Arma",20,832
107,"Village of Arnold",32,871
108,"Atmautluak Tribal Utilities",2,878
109,"Arrowhead Electric Coop, Inc",27,887
110,"Town of Ashburnham",25,902
111,"Town of Ashland",34,906
112,"City of Ashland",42,907
113,"City of Ashland",20,911
114,"City of Aspen",7,918
115,"Ashley Chicot Elec Coop, Inc",5,925
116,"Ashley Chicot Elec Coop, Inc",22,925
117,"Atchison-Holt Electric Coop",19,942
118,"Atchison-Holt Electric Coop",29,942
119,"Atchison-Holt Electric Coop",32,942
120,"City of Athens",1,944
121,"Athens Utility Board",49,947
122,"Atlantic City Electric Co",35,963
123,"Atlantic Municipal Utilities",19,965
124,"City of Attica",20,989
125,"Auburn Board of Public Works",32,993
126,"City of Auburn",18,994
127,"City of Auburn",19,995
128,"City of Augusta",20,998
129,"City of Augusta",5,1000
130,"City of Aurelia",19,1002
131,"City of Aurora",48,1004
132,"Austin City of",27,1009
133,"Austin Energy",50,1015
134,"Ava City of",29,1024
135,"Town of Avilla",18,1028
136,"City of Axtell",20,1033
137,"Town of Ayden",38,1036
138,"Aztec City of",36,1046
139,"City of Azusa",6,1050
140,"BARC Electric Coop Inc",54,1062
141,"City of Badger",48,1080
142,"Bagley Public Utilities Comm",27,1101
143,"Town of Bainbridge",18,1119
144,"City of Baldwin City",20,1148
145,"Baldwin County El Member Corp",1,1149
146,"Baltimore Gas & Electric Co",24,1167
147,"Bailey County Elec Coop Assn",50,1169
148,"Bamberg Board of Public Works",47,1170
149,"Bancroft Municipal Utilities",19,1172
150,"Bandera Electric Coop, Inc",50,1175
151,"City of Bandon",42,1176
152,"Bangor Hydro-Electric Co",23,1179
153,"Bangor City of",57,1181
154,"Banning City of",6,1192
155,"Village of Baraga",26,1196
156,"Barbourville Utility Comm",21,1201
157,"City of Bardwell",21,1205
158,"Town of Bargersville",18,1208
159,"City of Barnesville",13,1232
160,"City of Barnesville",27,1233
161,"Barron Electric Coop",57,1251
162,"Bartlett Electric Coop, Inc",50,1273
163,"Barrow Utils & Elec Coop, Inc",2,1276
164,"City of Barron",57,1278
165,"Barry Electric Coop",29,1279
166,"Bartholomew County Rural E M C",18,1283
167,"City of Bartlett",50,1287
168,"Barton Village, Inc",52,1299
169,"Bartow City of",12,1300
170,"Barton County Elec Coop, Inc",29,1301
171,"City of Bastrop",50,1324
